episode,total_frames,pat_False_mat_False_count,pat_False_mat_False_percentage,pat_False_mat_True_count,pat_False_mat_True_percentage,pat_True_mat_False_count,pat_True_mat_False_percentage,pat_True_mat_True_count,pat_True_mat_True_percentage
1,112,35,31.25,45,40.18,18,16.07,14,12.5
2,159,23,14.47,67,42.14,35,22.01,34,21.38
3,104,31,29.81,38,36.54,22,21.15,13,12.5
4,133,20,15.04,33,24.81,39,29.32,41,30.83
5,157,22,14.01,50,31.85,34,21.66,51,32.48
6,167,13,7.78,56,33.53,40,23.95,58,34.73
7,178,27,15.17,35,19.66,56,31.46,60,33.71
8,117,24,20.51,26,22.22,23,19.66,44,37.61
9,123,27,21.95,20,16.26,21,17.07,55,44.72
10,191,32,16.75,52,27.23,27,14.14,80,41.88
11,156,27,17.31,43,27.56,30,19.23,56,35.9
12,125,17,13.6,33,26.4,46,36.8,29,23.2
13,104,13,12.5,25,24.04,18,17.31,48,46.15
14,127,30,23.62,55,43.31,15,11.81,27,21.26
15,138,30,21.74,37,26.81,38,27.54,33,23.91
16,129,26,20.16,45,34.88,22,17.05,36,27.91
17,123,21,17.07,25,20.33,34,27.64,43,34.96
18,120,24,20,43,35.83,20,16.67,33,27.5
19,142,23,16.2,23,16.2,24,16.9,72,50.7
20,128,29,22.66,30,23.44,20,15.62,49,38.28
21,140,31,22.14,26,18.57,18,12.86,65,46.43
22,141,56,39.72,19,13.48,30,21.28,36,25.53
23,148,29,19.59,42,28.38,12,8.11,65,43.92
24,123,22,17.89,25,20.33,21,17.07,55,44.72
25,174,27,15.52,42,24.14,68,39.08,37,21.26
26,126,19,15.08,34,26.98,25,19.84,48,38.1
27,144,19,13.19,41,28.47,41,28.47,43,29.86
28,118,12,10.17,34,28.81,31,26.27,41,34.75
29,158,43,27.22,37,23.42,38,24.05,40,25.32
30,105,25,23.81,17,16.19,34,32.38,29,27.62
31,132,35,26.52,29,21.97,24,18.18,44,33.33
32,124,23,18.55,34,27.42,33,26.61,34,27.42
33,156,41,26.28,39,25,32,20.51,44,28.21
34,130,43,33.08,40,30.77,17,13.08,30,23.08
35,120,33,27.5,31,25.83,29,24.17,27,22.5
36,153,21,13.73,44,28.76,26,16.99,62,40.52
37,174,33,18.97,61,35.06,39,22.41,41,23.56
38,117,12,10.26,33,28.21,36,30.77,36,30.77
39,108,16,14.81,33,30.56,33,30.56,26,24.07
40,213,43,20.19,62,29.11,46,21.6,62,29.11
41,125,18,14.4,36,28.8,30,24,41,32.8
42,153,21,13.73,36,23.53,40,26.14,56,36.6
43,131,19,14.5,29,22.14,34,25.95,49,37.4
44,162,28,17.28,41,25.31,51,31.48,42,25.93
45,95,24,25.26,25,26.32,24,25.26,22,23.16
46,111,17,15.32,28,25.23,43,38.74,23,20.72
47,94,19,20.21,22,23.4,26,27.66,27,28.72
48,125,31,24.8,31,24.8,29,23.2,34,27.2
49,162,19,11.73,61,37.65,33,20.37,49,30.25
50,459,98,21.35,76,16.56,137,29.85,148,32.24
51,126,12,9.52,39,30.95,36,28.57,39,30.95
52,213,55,25.82,47,22.07,50,23.47,61,28.64
53,176,61,34.66,34,19.32,62,35.23,19,10.8
54,151,32,21.19,35,23.18,51,33.77,33,21.85
55,177,48,27.12,33,18.64,31,17.51,65,36.72
56,100,17,17,40,40,27,27,16,16
57,136,30,22.06,25,18.38,65,47.79,16,11.76
58,133,25,18.8,47,35.34,31,23.31,30,22.56
59,146,23,15.75,41,28.08,39,26.71,43,29.45
60,156,31,19.87,48,30.77,26,16.67,51,32.69
61,149,39,26.17,36,24.16,45,30.2,29,19.46
62,114,27,23.68,39,34.21,28,24.56,20,17.54
63,161,46,28.57,34,21.12,36,22.36,45,27.95
64,85,18,21.18,14,16.47,15,17.65,38,44.71
65,125,22,17.6,42,33.6,39,31.2,22,17.6
66,185,54,29.19,41,22.16,43,23.24,47,25.41
67,146,46,31.51,30,20.55,42,28.77,28,19.18
68,116,47,40.52,12,10.34,17,14.66,40,34.48
69,135,33,24.44,39,28.89,36,26.67,27,20
70,181,53,29.28,51,28.18,54,29.83,23,12.71
71,144,25,17.36,30,20.83,48,33.33,41,28.47
72,103,25,24.27,25,24.27,23,22.33,30,29.13
73,193,47,24.35,46,23.83,45,23.32,55,28.5
74,232,87,37.5,40,17.24,47,20.26,58,25
75,167,57,34.13,35,20.96,32,19.16,43,25.75
76,128,31,24.22,38,29.69,36,28.12,23,17.97
77,154,37,24.03,31,20.13,40,25.97,46,29.87
78,171,28,16.37,46,26.9,49,28.65,48,28.07
79,185,27,14.59,44,23.78,45,24.32,69,37.3
80,123,20,16.26,27,21.95,47,38.21,29,23.58
81,127,13,10.24,34,26.77,42,33.07,38,29.92
82,218,29,13.3,65,29.82,66,30.28,58,26.61
83,218,53,24.31,69,31.65,40,18.35,56,25.69
84,426,212,49.77,40,9.39,108,25.35,66,15.49
85,205,38,18.54,60,29.27,58,28.29,49,23.9
86,129,28,21.71,24,18.6,30,23.26,47,36.43
87,96,9,9.38,37,38.54,20,20.83,30,31.25
88,92,5,5.43,21,22.83,28,30.43,38,41.3
89,141,32,22.7,40,28.37,41,29.08,28,19.86
90,125,29,23.2,35,28,41,32.8,20,16
91,137,31,22.63,42,30.66,31,22.63,33,24.09
92,163,45,27.61,23,14.11,34,20.86,61,37.42
93,145,52,35.86,37,25.52,29,20,27,18.62
94,139,54,38.85,28,20.14,32,23.02,25,17.99
95,147,40,27.21,49,33.33,31,21.09,27,18.37
96,143,50,34.97,29,20.28,34,23.78,30,20.98
97,184,39,21.2,45,24.46,44,23.91,56,30.43
98,164,33,20.12,34,20.73,45,27.44,52,31.71
99,183,44,24.04,49,26.78,64,34.97,26,14.21
100,184,29,15.76,47,25.54,81,44.02,27,14.67
101,126,27,21.43,32,25.4,32,25.4,35,27.78
102,150,17,11.33,39,26,65,43.33,29,19.33
103,154,51,33.12,35,22.73,48,31.17,20,12.99
104,182,56,30.77,40,21.98,50,27.47,36,19.78
105,148,30,20.27,37,25,48,32.43,33,22.3
106,137,26,18.98,30,21.9,25,18.25,56,40.88
107,133,20,15.04,30,22.56,42,31.58,41,30.83
108,176,42,23.86,37,21.02,79,44.89,18,10.23
109,171,27,15.79,47,27.49,50,29.24,47,27.49
110,184,35,19.02,43,23.37,53,28.8,53,28.8
111,127,42,33.07,22,17.32,37,29.13,26,20.47
112,134,27,20.15,23,17.16,44,32.84,40,29.85
113,137,31,22.63,36,26.28,41,29.93,29,21.17
114,195,43,22.05,56,28.72,53,27.18,43,22.05
116,205,18,8.78,86,41.95,53,25.85,48,23.41
117,133,25,18.8,33,24.81,38,28.57,37,27.82
118,149,34,22.82,52,34.9,54,36.24,9,6.04
119,140,20,14.29,51,36.43,36,25.71,33,23.57
120,146,33,22.6,32,21.92,14,9.59,67,45.89
121,138,22,15.94,29,21.01,27,19.57,60,43.48
122,243,40,16.46,105,43.21,65,26.75,33,13.58
123,159,57,35.85,34,21.38,42,26.42,26,16.35
124,177,39,22.03,36,20.34,43,24.29,59,33.33
